facilityCode,name,legalName,providerType,facilityCategory,levelOfCare,ownership,tier,contractStatus,medicalChainRole,largeInstitutionFlag,servicesOffered,acceptsInsurance,insurersAccepted,insuranceEvidence,sourceClass,sourceNotes,region,district,county,subcounty,address,geoLatitude,geoLongitude,isOpen24Hours,operatingHours,phone,email,contactPerson,paymentTermDays,creditLimitUGX,contractStartDate,contractEndDate,contractNotes,licenceNumber,registrationNumber,facilityLevel,smartProviderId,slade360ProviderId
UG-FAC-00282-ST-LUKE-S-KAMPALA-HOSPITAL,St. Luke's Kampala Hospital,St. Luke's Kampala Hospital,HOSPITAL,District Hospital,District Hospital,Government,PANEL,ACTIVE,District Hospital,false,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,ICEA|Jubilee,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Central,Kampala,Kampala,Kampala East,"Kampala East, Kampala, Uganda",0.340264,32.589261,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25672225239,billing.0282@st.luke.s.kampala.hospital.test.ug,Provider Relations 0282,30,250000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000282,,District Hospital,SMART-UG-00282,SLADE-UG-00282
UG-FAC-00283-CARE-NAKASONGOLA-MEDICAL-CENTRE,Care Nakasongola Medical Centre,Care Nakasongola Medical Centre Limited,CLINIC,Health Centre,HC IV,Private not for profit,PANEL,ACTIVE,Health Centre,false,Outpatient|Laboratory|Minor Surgery,true,Prudential|Britam|Liberty,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Central,Nakasongola,Nakasongola,Nakasongola Market Ward,"Nakasongola Market Ward, Nakasongola, Uganda",1.277456,32.43312,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25672233158,billing.0283@care.nakasongola.medical.centre.test.ug,Provider Relations 0283,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000283,UG-REG-TEST-000283,HC IV,SMART-UG-00283,SLADE-UG-00283
UG-FAC-00284-COMMUNITY-MBARARA-MEDICAL-CENTRE,Community Mbarara Medical Centre,Community Mbarara Medical Centre Limited,CLINIC,Health Centre,Outpatient Clinic,Private not for profit,PANEL,ACTIVE,Health Centre,false,Outpatient|Laboratory|Chronic Care,true,Sanlam|Liberty,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Western,Mbarara,Mbarara,Mbarara West,"Mbarara West, Mbarara, Uganda",-0.576326,30.631177,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672241077,billing.0284@community.mbarara.medical.centre.test.ug,Provider Relations 0284,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000284,UG-REG-TEST-000284,Outpatient Clinic,SMART-UG-00284,SLADE-UG-00284
UG-FAC-00285-METRO-KAMPALA-MEDICAL-CENTRE,Metro Kampala Medical Centre,Metro Kampala Medical Centre Limited,CLINIC,Health Centre,HC III,Private for profit,PANEL,ACTIVE,Health Centre,false,Outpatient|Laboratory|Chronic Care,true,Jubilee,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Central,Kampala,Kampala,Kampala North,"Kampala North, Kampala, Uganda",0.33536,32.595626,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25672248996,billing.0285@metro.kampala.medical.centre.test.ug,Provider Relations 0285,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000285,UG-REG-TEST-000285,HC III,SMART-UG-00285,SLADE-UG-00285
UG-FAC-00286-BRIDGE-KAYUNGA-MEDICAL-CENTRE,Bridge Kayunga Medical Centre,Bridge Kayunga Medical Centre Limited,CLINIC,Medical Clinic,HC III,Private not for profit,PANEL,ACTIVE,Medical Clinic,false,Outpatient|Laboratory|Chronic Care,true,AAR|Liberty|Britam|APA,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Central,Kayunga,Kayunga,Kayunga South,"Kayunga South, Kayunga, Uganda",0.665982,32.906965,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25672256915,billing.0286@bridge.kayunga.medical.centre.test.ug,Provider Relations 0286,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000286,UG-REG-TEST-000286,HC III,SMART-UG-00286,SLADE-UG-00286
UG-FAC-00287-PEARL-JINJA-MEDICAL-CENTRE,Pearl Jinja Medical Centre,Pearl Jinja Medical Centre Limited,CLINIC,Health Centre,HC III,Private not for profit,PANEL,ACTIVE,Health Centre,false,Outpatient|Laboratory|Emergency,true,APA|Prudential|Britam,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Eastern,Jinja,Jinja,Jinja East,"Jinja East, Jinja, Uganda",0.388928,33.225477,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672264834,billing.0287@pearl.jinja.medical.centre.test.ug,Provider Relations 0287,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000287,UG-REG-TEST-000287,HC III,SMART-UG-00287,SLADE-UG-00287
UG-FAC-00288-HOPE-KUMI-MEDICAL-CENTRE,Hope Kumi Medical Centre,Hope Kumi Medical Centre Limited,CLINIC,Health Centre,HC IV,Private for profit,PANEL,ACTIVE,Health Centre,false,Outpatient|Laboratory|Maternity,true,Liberty|Sanlam|Britam,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Eastern,Kumi,Kumi,Kumi East,"Kumi East, Kumi, Uganda",1.491339,33.915699,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672272753,billing.0288@hope.kumi.medical.centre.test.ug,Provider Relations 0288,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000288,UG-REG-TEST-000288,HC IV,SMART-UG-00288,SLADE-UG-00288
UG-FAC-00289-VICTORIA-PALLISA-MEDICAL-CENTRE,Victoria Pallisa Medical Centre,Victoria Pallisa Medical Centre,CLINIC,Medical Clinic,Outpatient Clinic,Government,PARTNER,ACTIVE,Medical Clinic,false,Outpatient|Laboratory|Chronic Care,true,Medical Concierge|Liberty|Jubilee|Prudential,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Eastern,Pallisa,Pallisa,Pallisa Market Ward,"Pallisa Market Ward, Pallisa, Uganda",1.142048,33.732505,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672280672,billing.0289@victoria.pallisa.medical.centre.test.ug,Provider Relations 0289,21,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000289,,Outpatient Clinic,SMART-UG-00289,SLADE-UG-00289
UG-FAC-00290-C-CARE-NTUNGAMO-SOUTH,C-Care Ntungamo South,C-Care Ntungamo South Limited,CLINIC,Medical Clinic,HC III,Private for profit,PARTNER,ACTIVE,Medical Clinic,false,Outpatient|Laboratory|Emergency,true,APA,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Western,Ntungamo,Ntungamo,Ntungamo Town Council,"Ntungamo Town Council, Ntungamo, Uganda",-0.852523,30.219815,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672288591,billing.0290@c.care.ntungamo.south.test.ug,Provider Relations 0290,21,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000290,UG-REG-TEST-000290,HC III,SMART-UG-00290,SLADE-UG-00290
UG-FAC-00291-GRACE-KAMPALA-MEDICAL-CENTRE,Grace Kampala Medical Centre,Grace Kampala Medical Centre Limited,CLINIC,Health Centre,HC IV,Private for profit,PANEL,ACTIVE,Health Centre,false,Outpatient|Laboratory|Chronic Care,true,Liberty|Prudential|GA Insurance,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Central,Kampala,Kampala,Kampala East,"Kampala East, Kampala, Uganda",0.364837,32.586552,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672296510,billing.0291@grace.kampala.medical.centre.test.ug,Provider Relations 0291,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000291,UG-REG-TEST-000291,HC IV,SMART-UG-00291,SLADE-UG-00291
UG-FAC-00292-COMMUNITY-IGANGA-MEDICAL-CENTRE,Community Iganga Medical Centre,Community Iganga Medical Centre Limited,CLINIC,Health Centre,HC III,Private for profit,PANEL,ACTIVE,Health Centre,false,Outpatient|Laboratory|Emergency,true,Jubilee|ICEA|AAR,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Eastern,Iganga,Iganga,Iganga Market Ward,"Iganga Market Ward, Iganga, Uganda",0.610953,33.43642,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672304429,billing.0292@community.iganga.medical.centre.test.ug,Provider Relations 0292,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000292,UG-REG-TEST-000292,HC III,SMART-UG-00292,SLADE-UG-00292
UG-FAC-00293-ST-MARY-S-NAKASEKE-MEDICAL-CENTRE,St. Mary's Nakaseke Medical Centre,St. Mary's Nakaseke Medical Centre Limited,CLINIC,Health Centre,HC III,Private for profit,PARTNER,ACTIVE,Health Centre,false,Outpatient|Laboratory|Chronic Care,true,APA|Medical Concierge|ICEA,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Central,Nakaseke,Nakaseke,Nakaseke Market Ward,"Nakaseke Market Ward, Nakaseke, Uganda",1.030687,32.001866,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672312348,billing.0293@st.mary.s.nakaseke.medical.centre.test.ug,Provider Relations 0293,21,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000293,UG-REG-TEST-000293,HC III,SMART-UG-00293,SLADE-UG-00293
UG-FAC-00294-GOODLIFE-PHARMACY-NTUNGAMO-NORTH,Goodlife Pharmacy Ntungamo North,Goodlife Pharmacy Ntungamo North Limited,CLINIC,Medical Clinic,HC III,Private not for profit,PANEL,ACTIVE,Medical Clinic,false,Outpatient|Laboratory|Emergency,true,Medical Concierge|AAR|GA Insurance|Sanlam,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Western,Ntungamo,Ntungamo,Ntungamo Town Council,"Ntungamo Town Council, Ntungamo, Uganda",-0.854479,30.293848,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672320267,billing.0294@goodlife.pharmacy.ntungamo.north.test.ug,Provider Relations 0294,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000294,UG-REG-TEST-000294,HC III,SMART-UG-00294,SLADE-UG-00294
UG-FAC-00295-ST-LUKE-S-KYANKWANZI-MEDICAL-CENTR,St. Luke's Kyankwanzi Medical Centre,St. Luke's Kyankwanzi Medical Centre,CLINIC,Health Centre,HC III,Government,PARTNER,ACTIVE,Health Centre,false,Outpatient|Laboratory|Maternity,true,Medical Concierge|Britam|Sanlam|Liberty,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Central,Kyankwanzi,Kyankwanzi,Kyankwanzi Central,"Kyankwanzi Central, Kyankwanzi, Uganda",1.215683,31.772499,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672328186,billing.0295@st.luke.s.kyankwanzi.medical.centre.test.ug,Provider Relations 0295,21,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000295,,HC III,SMART-UG-00295,SLADE-UG-00295
UG-FAC-00296-SUNRISE-LIRA-MEDICAL-CENTRE,Sunrise Lira Medical Centre,Sunrise Lira Medical Centre,CLINIC,Medical Clinic,HC IV,Government,PARTNER,ACTIVE,Medical Clinic,false,Outpatient|Laboratory|Maternity,true,GA Insurance|Jubilee,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Northern,Lira,Lira,Lira Town Council,"Lira Town Council, Lira, Uganda",2.21353,32.855067,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672336105,billing.0296@sunrise.lira.medical.centre.test.ug,Provider Relations 0296,21,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000296,,HC IV,SMART-UG-00296,SLADE-UG-00296
UG-FAC-00297-ST-MARY-S-BUSHENYI-MEDICAL-CENTRE,St. Mary's Bushenyi Medical Centre,St. Mary's Bushenyi Medical Centre,CLINIC,Health Centre,HC III,Government,PANEL,ACTIVE,Health Centre,false,Outpatient|Laboratory|Chronic Care,true,Britam|Liberty|APA|Sanlam,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Western,Bushenyi,Bushenyi,Bushenyi West,"Bushenyi West, Bushenyi, Uganda",-0.599114,30.220893,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672344024,billing.0297@st.mary.s.bushenyi.medical.centre.test.ug,Provider Relations 0297,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000297,,HC III,SMART-UG-00297,SLADE-UG-00297
UG-FAC-00298-MEDIPAL-BUGIRI-MUNICIPAL,Medipal Bugiri Municipal,Medipal Bugiri Municipal Limited,CLINIC,Health Centre,HC III,Private not for profit,PARTNER,ACTIVE,Health Centre,false,Outpatient|Laboratory|Emergency,true,UAP Old Mutual|Sanlam|Britam,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Eastern,Bugiri,Bugiri,Bugiri Market Ward,"Bugiri Market Ward, Bugiri, Uganda",0.603081,33.778837,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672351943,billing.0298@medipal.bugiri.municipal.test.ug,Provider Relations 0298,21,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000298,UG-REG-TEST-000298,HC III,SMART-UG-00298,SLADE-UG-00298
UG-FAC-00299-RELIABLE-KABALE-MEDICAL-CENTRE,Reliable Kabale Medical Centre,Reliable Kabale Medical Centre Limited,CLINIC,Medical Clinic,HC IV,Private for profit,PARTNER,ACTIVE,Medical Clinic,false,Outpatient|Laboratory|Emergency,true,APA,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Western,Kabale,Kabale,Kabale West,"Kabale West, Kabale, Uganda",-1.266519,29.950427,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672359862,billing.0299@reliable.kabale.medical.centre.test.ug,Provider Relations 0299,21,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000299,UG-REG-TEST-000299,HC IV,SMART-UG-00299,SLADE-UG-00299
UG-FAC-00300-NILE-OYAM-MEDICAL-CENTRE,Nile Oyam Medical Centre,Nile Oyam Medical Centre Limited,CLINIC,Health Centre,HC III,Private for profit,PANEL,ACTIVE,Health Centre,false,Outpatient|Laboratory|Emergency,true,Sanlam|Liberty,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Northern,Oyam,Oyam,Oyam Industrial Area,"Oyam Industrial Area, Oyam, Uganda",2.233955,32.387475,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672367781,billing.0300@nile.oyam.medical.centre.test.ug,Provider Relations 0300,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000300,UG-REG-TEST-000300,HC III,SMART-UG-00300,SLADE-UG-00300
UG-FAC-00301-GRACE-GULU-MEDICAL-CENTRE,Grace Gulu Medical Centre,Grace Gulu Medical Centre,CLINIC,Medical Clinic,HC III,Government,PARTNER,ACTIVE,Medical Clinic,false,Outpatient|Laboratory|Maternity,true,UAP Old Mutual|Sanlam,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Northern,Gulu,Gulu,Gulu Central,"Gulu Central, Gulu, Uganda",2.734661,32.257941,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672375700,billing.0301@grace.gulu.medical.centre.test.ug,Provider Relations 0301,21,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000301,,HC III,SMART-UG-00301,SLADE-UG-00301
UG-FAC-00302-AAR-HEALTH-CARE-NAKASONGOLA-HILL-V,AAR Health Care Nakasongola Hill View,AAR Health Care Nakasongola Hill View Limited,CLINIC,Medical Clinic,HC IV,Private for profit,PARTNER,ACTIVE,Medical Clinic,false,Outpatient|Laboratory|Chronic Care,true,Britam|UAP Old Mutual|Jubilee,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Central,Nakasongola,Nakasongola,Nakasongola South,"Nakasongola South, Nakasongola, Uganda",1.343517,32.450215,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672383619,billing.0302@aar.health.care.nakasongola.hill.view.test.ug,Provider Relations 0302,21,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000302,UG-REG-TEST-000302,HC IV,SMART-UG-00302,SLADE-UG-00302
UG-FAC-00303-COMMUNITY-LUWERO-MEDICAL-CENTRE,Community Luwero Medical Centre,Community Luwero Medical Centre Limited,CLINIC,Health Centre,HC III,Private for profit,PANEL,ACTIVE,Health Centre,false,Outpatient|Laboratory|Emergency,true,Britam|UAP Old Mutual|APA|Prudential,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Central,Luwero,Luwero,Luwero West,"Luwero West, Luwero, Uganda",0.891836,32.489114,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672391538,billing.0303@community.luwero.medical.centre.test.ug,Provider Relations 0303,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000303,UG-REG-TEST-000303,HC III,SMART-UG-00303,SLADE-UG-00303
UG-FAC-00304-ST-LUKE-S-KANUNGU-MEDICAL-CENTRE,St. Luke's Kanungu Medical Centre,St. Luke's Kanungu Medical Centre Limited,CLINIC,Medical Clinic,HC III,Private for profit,PARTNER,ACTIVE,Medical Clinic,false,Outpatient|Laboratory|Chronic Care,true,ICEA,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Western,Kanungu,Kanungu,Kanungu West,"Kanungu West, Kanungu, Uganda",-0.935962,29.831526,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672399457,billing.0304@st.luke.s.kanungu.medical.centre.test.ug,Provider Relations 0304,21,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000304,UG-REG-TEST-000304,HC III,SMART-UG-00304,SLADE-UG-00304
UG-FAC-00305-VICTORIA-KAYUNGA-MEDICAL-CENTRE,Victoria Kayunga Medical Centre,Victoria Kayunga Medical Centre Limited,CLINIC,Medical Clinic,HC IV,Private not for profit,PANEL,ACTIVE,Medical Clinic,false,Outpatient|Laboratory|Maternity,true,Medical Concierge|GA Insurance|APA|Prudential,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Central,Kayunga,Kayunga,Kayunga Municipal,"Kayunga Municipal, Kayunga, Uganda",0.696508,32.904617,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672407376,billing.0305@victoria.kayunga.medical.centre.test.ug,Provider Relations 0305,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000305,UG-REG-TEST-000305,HC IV,SMART-UG-00305,SLADE-UG-00305
UG-FAC-00306-HOPE-KIBOGA-MEDICAL-CENTRE,Hope Kiboga Medical Centre,Hope Kiboga Medical Centre,CLINIC,Health Centre,HC III,Government,PANEL,ACTIVE,Health Centre,false,Outpatient|Laboratory|Maternity,true,Liberty|Britam|Medical Concierge|Jubilee,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Central,Kiboga,Kiboga,Kiboga Lake View,"Kiboga Lake View, Kiboga, Uganda",0.886884,31.776625,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672415295,billing.0306@hope.kiboga.medical.centre.test.ug,Provider Relations 0306,30,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000306,,HC III,SMART-UG-00306,SLADE-UG-00306
UG-FAC-00307-BRIDGE-KISORO-MEDICAL-CENTRE,Bridge Kisoro Medical Centre,Bridge Kisoro Medical Centre Limited,CLINIC,Health Centre,HC III,Private for profit,PARTNER,ACTIVE,Health Centre,false,Outpatient|Laboratory|Minor Surgery,true,Sanlam|ICEA|Liberty,Generated test panel membership,synthetic_fixture,Deterministic synthetic fixture generated for UAT breadth; not an official MoH registry row.,Western,Kisoro,Kisoro,Kisoro North,"Kisoro North, Kisoro, Uganda",-1.319595,29.69929,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25672423214,billing.0307@bridge.kisoro.medical.centre.test.ug,Provider Relations 0307,21,65000000,2026-01-01,2027-12-31,"Synthetic Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000307,UG-REG-TEST-000307,HC III,SMART-UG-00307,SLADE-UG-00307
